id,category,filename,target_folder,search_query,fallback_query,source_priority,format,min_dimensions,aspect,license_required,notes
H01,hero,hero-citizen-paying.jpg,wwwroot/img/hero,"African person paying with mobile phone","mobile money payment hand phone","unsplash.com, pexels.com",jpg,1920x1080,16:9,free-commercial,"warm tones; daytime; no visible brand logos on phone screen"
H02,hero,hero-officer-checkpoint.jpg,wwwroot/img/hero,"Malawi traffic police officer checkpoint","African traffic police road stop uniform","unsplash.com, pexels.com, wikimedia.org",jpg,1920x1080,16:9,free-commercial,"prefer high-vis jacket and reflective markings; daytime"
H03,hero,hero-malawi-road.jpg,wwwroot/img/hero,"Malawi highway aerial Lilongwe","African city road aerial view","unsplash.com, pexels.com",jpg,1920x1080,16:9,free-commercial,"wide road, modern infrastructure, blue sky"
H04,hero,hero-officer-tablet.jpg,wwwroot/img/hero,"police officer tablet handheld scanning","officer using tablet field enforcement","unsplash.com, pexels.com",jpg,1920x1080,16:9,free-commercial,"tech-forward field enforcement vibe"
H05,hero,hero-court-justice.jpg,wwwroot/img/hero,"scales of justice government office Africa","African government building columns","unsplash.com, pexels.com",jpg,1600x900,16:9,free-commercial,"institutional / authoritative tone"
G01,government,mps-crest.png,wwwroot/img/gov,"Malawi Police Service crest logo","MPS Malawi badge official",official press-kit / police.gov.mw / wikimedia.org,png,512x512,1:1,public-domain or fair-use-government,"transparent background; high-res"
G02,government,drtss-logo.png,wwwroot/img/gov,"DRTSS Malawi logo Directorate Road Traffic Safety","Directorate Road Traffic Safety Services Malawi emblem","drtss.gov.mw, wikimedia.org",png,512x512,1:1,public-domain or fair-use-government,"if not findable, use mps-crest as fallback in markup"
G03,government,malawi-coat-of-arms.svg,wwwroot/img/gov,"Malawi coat of arms svg vector","Malawi government coat of arms official",wikimedia.org,svg,N/A,1:1,public-domain,"vector preferred"
G04,government,malawi-flag.svg,wwwroot/img/gov,"Malawi flag svg horizontal","Malawi national flag vector",wikimedia.org,svg,N/A,3:2,public-domain,"horizontal stripes red-black-green with sun"
G05,government,malawi-map-outline.svg,wwwroot/img/gov,"Malawi country outline svg map","Malawi map silhouette vector",wikimedia.org,svg,N/A,2:3,public-domain,"single-color outline; no labels"
C01,channel,airtel-money.svg,wwwroot/img/channels,"Airtel Money logo svg","Airtel Africa money brand logo",brandfetch.com (airtel.africa) / worldvectorlogo.com,svg,N/A,N/A,brand-trademark-fair-use,"red Airtel logotype"
C02,channel,tnm-mpamba.svg,wwwroot/img/channels,"TNM Mpamba logo Malawi","Telekom Networks Malawi Mpamba",brandfetch.com (tnm.co.mw) / tnm.co.mw press,svg,N/A,N/A,brand-trademark-fair-use,"if SVG not available accept high-res PNG"
C03,channel,standard-bank.svg,wwwroot/img/channels,"Standard Bank Malawi logo svg","Standard Bank logo",brandfetch.com (standardbank.co.mw),svg,N/A,N/A,brand-trademark-fair-use,"blue wordmark"
C04,channel,nbm.svg,wwwroot/img/channels,"National Bank of Malawi logo","NBM Malawi bank logo",brandfetch.com (natbank.co.mw),svg,N/A,N/A,brand-trademark-fair-use,
C05,channel,fdh-bank.svg,wwwroot/img/channels,"FDH Bank Malawi logo","First Discount House Malawi logo",brandfetch.com (fdh.co.mw),svg,N/A,N/A,brand-trademark-fair-use,
C06,channel,nbs-bank.svg,wwwroot/img/channels,"NBS Bank Malawi logo","New Building Society Malawi logo",brandfetch.com (nbs.mw),svg,N/A,N/A,brand-trademark-fair-use,
C07,channel,visa.svg,wwwroot/img/channels,"Visa logo svg blue","Visa card brand logo",brandfetch.com (visa.com) / worldvectorlogo.com,svg,N/A,N/A,brand-trademark-fair-use,"official blue version"
C08,channel,mastercard.svg,wwwroot/img/channels,"Mastercard logo svg","Mastercard brand logo current",brandfetch.com (mastercard.com) / worldvectorlogo.com,svg,N/A,N/A,brand-trademark-fair-use,"current circle-overlap version"
C09,channel,whatsapp.svg,wwwroot/img/channels,"WhatsApp logo svg green","WhatsApp brand icon",brandfetch.com (whatsapp.com),svg,N/A,1:1,brand-trademark-fair-use,
C10,channel,ussd-icon.svg,wwwroot/img/channels,"USSD code phone icon svg","dial pad phone icon flat",flaticon.com / svgrepo.com,svg,N/A,1:1,free-commercial-with-attribution,"abstract icon ok; doesn't need brand"
A01,avatar,avatar-male-1.svg,wwwroot/img/officers,"male police officer avatar svg flat","African male officer illustration",dicebear.com (personas style) / svgrepo.com,svg,512x512,1:1,free-commercial,"professional uniform; navy/blue color scheme"
A02,avatar,avatar-male-2.svg,wwwroot/img/officers,"male police officer avatar svg flat darker skin","African male officer illustration",dicebear.com (personas style),svg,512x512,1:1,free-commercial,
A03,avatar,avatar-male-3.svg,wwwroot/img/officers,"male officer avatar svg older","senior police officer illustration",dicebear.com (personas style),svg,512x512,1:1,free-commercial,
A04,avatar,avatar-female-1.svg,wwwroot/img/officers,"female police officer avatar svg","African female officer illustration",dicebear.com (personas style),svg,512x512,1:1,free-commercial,
A05,avatar,avatar-female-2.svg,wwwroot/img/officers,"female officer avatar svg younger","female police uniform illustration",dicebear.com (personas style),svg,512x512,1:1,free-commercial,
A06,avatar,avatar-default.svg,wwwroot/img/officers,"generic police silhouette avatar svg","police uniform silhouette icon",svgrepo.com / iconfinder.com (free),svg,512x512,1:1,free-commercial,"used when officer has no avatar"
I01,icon,icon-fine-receipt.svg,wwwroot/img/icons,"receipt document icon svg flat","fine ticket icon flat",heroicons.com / lucide.dev,svg,N/A,1:1,mit-license,
I02,icon,icon-vehicle.svg,wwwroot/img/icons,"car vehicle icon svg flat","sedan car icon line",heroicons.com / lucide.dev,svg,N/A,1:1,mit-license,
I03,icon,icon-money-mk.svg,wwwroot/img/icons,"banknote money icon svg flat","cash kwacha icon",heroicons.com / lucide.dev,svg,N/A,1:1,mit-license,"can later add MK overlay"
I04,icon,icon-shield-check.svg,wwwroot/img/icons,"shield check icon svg","shield verified flat icon",heroicons.com / lucide.dev,svg,N/A,1:1,mit-license,"used for paid status"
I05,icon,icon-clock-warning.svg,wwwroot/img/icons,"clock warning overdue icon svg","alarm overdue red icon",heroicons.com / lucide.dev,svg,N/A,1:1,mit-license,"used for overdue status"
M01,misc,pattern-bg-light.svg,wwwroot/img/misc,"subtle pattern background svg light gray","topography subtle pattern svg",heropatterns.com,svg,N/A,N/A,cc0,"used as section divider"
M02,misc,pattern-bg-navy.svg,wwwroot/img/misc,"subtle pattern background svg dark navy","topography pattern dark navy",heropatterns.com,svg,N/A,N/A,cc0,"used in admin sidebar"
M03,misc,placeholder-vehicle.jpg,wwwroot/img/misc,"car license plate close up","Toyota Hilux Malawi license plate","unsplash.com, pexels.com",jpg,1280x720,16:9,free-commercial,"used in fine-detail mockups"
M04,misc,placeholder-document.jpg,wwwroot/img/misc,"signed government document on desk","official paperwork stamped","unsplash.com, pexels.com",jpg,1280x720,16:9,free-commercial,"used as preview thumbnail"
